,Size,Society,Location,total_sqft,Available by,Age(in yrs),Status,Price(In Lakhs)
54,3,ARP Valora,Baner,1412,Ready To Move,2,Resale,125
55,2,Majestique Manhattan,Wagholi,939,Ready To Move,3,Resale,36.42
56,2,Rohan Mithila,Viman Nagar,980, Oct 2025,0,New,85
57,2,Oswal Namo Darshan Godawari,Talegaon Dhamdhere,842,Ready To Move,2,Resale,33
58,3,Gokhale Anantam,Shivaji Nagar,1400, Dec 2022,0,New,190
59,3,Pristine Prolife,Wakad,1620,Ready To Move,7,Resale,68
60,2,Reputed Builder Mohan NagarSociety,Viman Nagar,510,Ready To Move,1,Resale,34
61,3,Vascon Forest County,Kharadi,1695,Ready To Move,4,Resale,118
62,3,Duville Riverdale Residences I,Kharadi,1203, May 2024,0,New,160
63,2,Mantra 29 Gold Coast,Dhanori,639, Apr 2023,0,New,44.73
64,4,Pride Purple Park Grandeur,Baner,3030, May 2025,0,New,287
65,2,Mantra Alkasa,NIBM Annex Mohammadwadi,1110,Ready To Move,7,Resale,60
66,2,Shevi Utopia Gold,Moshi,943, Dec 2025,0,New,53.39
67,2,Naren Naren Hills,Wanowrie,1100, Jun 2024,0,New,65
68,2,Shanti Shantai Classic,Ravet,1050, May 2024,0,New,63.72
69,3,Vascon Forest County,Kharadi,1855, May 2026,0,New,205
70,2,Malpani Vivanta,Balewadi,642, Nov 2020,0,New,90
71,2,Onyx Gagan Avencia,Kharadi,647, Dec 2028,0,New,70.72
72,3,Yash Wisteria,Wakad,1350, Jul 2025,0,New,87
73,2,Gaikwad Vaidehi Enclave,Bavdhan,1150,Ready To Move,2,Resale,86.5
74,2,Shree Sai Divine Bliss,Punawale,1004,Ready To Move,2,Resale,40.57
75,2,Sri Sri Kunjban Phase 1B Building,Mamurdi,900,Ready To Move,2,Resale,47
76,2,Austin Arena,Warje,980, Dec 2025,0,New,84
77,2,VMA Reserve,Punawale,966, Feb 2026,0,New,48.68
78,3,Nilharsh Dwarka,Ravet,1000, Nov 2023,0,New,61.29
79,2,Lodha Lodha Belmondo,Gahunje,1298, Nov 2023,0,New,117
80,2,Runal Spacio,Ravet,910, Oct 2023,0,New,51.41
81,3,Bramha The Collection,Wadgaon Sheri,1090, Sep 2029,0,New,134
82,3,Adani Atelier Greens,Mundhwa,1327, Feb 2024,0,New,237
83,2,MS Karan Athena A Building And B Building,Tathawade,1000, Dec 2025,0,New,60
84,1,Ranjeet Sankalp II,Undri,580, Dec 2025,0,New,26.5
85,2,GK Developer Rose Icon,Pimple Saudagar,1015,Ready To Move,9,Resale,76
86,5,Nyati Erica,Kharadi,2000,Ready To Move,10,Resale,180
87,1,Pharande Kairosa Cluster A,Tathawade,634, Jun 2023,0,New,34
88,2,Vilas Yashone Hinjawadi Phase 1,Hinjewadi,1000, Mar 2028,0,New,57
89,2,Krisala New Launch,Moshi,853, Jun 2026,0,New,36
90,1,Shree Balaji Orchard Park,Bavdhan,650, Aug 2022,0,New,45
91,2,ADI W 57,Wakad,1548, Dec 2025,0,New,60
92,2,Pethkar Siyona Phase I,Tathawade,725, Dec 2025,0,New,69.44
93,2,VTP Blue Waters,Tathawade,1009,Ready To Move,2,Resale,69.5
94,2,Legacy Celestia,Wakad,1144, Jun 2024,0,New,90
95,2,VTP Aethereus Phase I,Mahalunge,530, Nov 2024,0,New,54.68
96,3,Feel Bliss Joywoods,Bavdhan,941, Dec 2026,0,New,103
97,2,Omega Paradise Wing L Phase 1,Wakad,990, Aug 2024,0,New,85
98,2,Onyx Gagan Avencia,Kharadi,673, Jun 2027,0,New,73.56
99,3,Kolte Patil Centria,Mohammed wadi,1310, Dec 2026,0,New,60
100,3,Pethkar Siyona Phase II,Marunji,1560, May 2026,0,New,99
101,2,Millennium Manor,Moshi,518, Dec 2022,0,New,38.27
102,2,Nyati Esplanade,Bavdhan,1000, Aug 2023,0,New,75
103,3,Rahul Arcus Bldg D,Baner,1686, Jan 2028,0,New,152
104,2,Unique K Ville Phase II,Kiwale,972,Ready To Move,2,Resale,45.96
105,2,Tulip Infinity World,Tathawade,613, May 2026,0,New,81.42
106,2,Kumar Parc Residences A1,Moshi,900, Nov 2026,0,New,40
107,2,Engineers Bonheur,Wakad,1012,Ready To Move,2,Resale,49.5
108,2,Majestique Manhattan,Wagholi,456, Dec 2027,0,New,44.65
109,1,Jairaj Aaradhyam Phase III,Kondhwa,541,Ready To Move,0,Resale,27.6
110,2,Vision Indratej,Tathawade,1012, May 2023,0,New,48
111,3,Prithvi Presidio Building B Phase 2,Hadapsar,1694, Mar 2023,0,New,111
112,2,Shree Bhagwati Bhagwati Shilp,Tathawade,1300, Apr 2023,0,New,54
113,3,Abhinav Pebbles II,Bavdhan,1485,Ready To Move,7,Resale,117
114,2,Nanded Madhuvanti,Dhayari,938,Ready To Move,7,Resale,75
115,1,Tirupati Forest Villa,Mamurdi,750, Feb 2023,0,New,37
116,2,Soba Optima Phase II,Vadgaon Budruk,565, Nov 2024,0,New,87.59
117,3,Jhamtani Ace Abode Wing A,Ravet,1173, Dec 2025,0,New,63.48
118,3,Kolte Patil Life Republic 7th Avenue,Hinjewadi,1600, May 2027,0,New,85
119,3,24LIFE 24Life Exotica,Moshi,945, Dec 2026,0,New,58.68
120,3,Godrej Hillside 1,Punawale,1356,Ready To Move,3,Resale,75.03
121,3,Reputed Builder Shri Swami Samarth Nagari,Chinchwad,1360, Sep 2025,0,New,100
122,2,Parth Srushti,Kothrud,950,Ready To Move,2,Resale,106
123,2,Magarpatta Iris,Hadapsar,961, Nov 2023,0,New,89
124,2,Supreme Belmac Residences,Wadgaon Sheri,1819, Dec 2026,0,New,186
125,2,Kolte Patil Western Avenue,Wakad,1120, Dec 2025,0,New,85
126,1,Pharande Kairosa Cluster A,Tathawade,614, Jun 2023,0,New,33.33
127,2,Kolte Patil Margosa Heights,NIBM Annex Mohammadwadi,1085, May 2024,0,New,58
128,2,Sancheti Mount N Glory,Kharadi,1095,Ready To Move,10,Resale,85
129,2,Saptsiddhi Savali Saffron Phase II,Mundhwa,1111, Jun 2023,0,New,59
130,2,Goel Ganga Aurum Park C,Tathawade,1080,Ready To Move,2,Resale,56
131,2,Lodha Belmondo,Mohammed wadi,1080,Ready To Move,2,Resale,50
132,2,Bhondve Orchid,Ravet,1044,Ready To Move,6,Resale,51.67
133,1,Siddhidata Innara Residency,Wakad,564, Jul 2023,0,New,35
134,2,Nyati Elan West I,Wagholi,760, Mar 2024,0,New,41.5
135,3,Reputed Builder Carnations,New Kalyani Nagar,3000, May 2023,0,New,425
136,2,Kumar Kruti,Kalyani Nagar,1100, Nov 2026,0,New,120
137,1,Runal Gateway Phase 1,NIBM Annexe,462, Apr 2027,0,New,24.5
138,2,Rama Metro Life Optima Residences,Tathawade,527,Ready To Move,0,Resale,67.24
139,2,Omega Heritage Villa,Dhayari,1100,Ready To Move,10,Resale,63
140,2,Unique K Ville,Ravet,954,Ready To Move,2,Resale,52.37
141,1,Pooja Complex,Uruli Devachi,5000,Ready To Move,2,Resale,90
142,1,Pallod Farms,Wagholi,1000,Ready To Move,2,Resale,19
143,2,Pharande Puneville Phase I,Tathawade,911,Ready To Move,2,Resale,61
144,3,Vardhaman Moonstone,Tathawade,1246, Aug 2024,0,New,76.39
145,2,GK Developer Rose Valley,Pimple Saudagar,1005,Ready To Move,11,Resale,75
146,3,Kolte Patil Life Republic Sector R1 1st Avenue,Hinjewadi,1100,Ready To Move,2,Resale,75
147,3,Rama Metro Life Maxima Residences,Tathawade,1269,Ready To Move,0,Resale,59.37
148,1,SB Vijay Residency,Punawale,699, Oct 2024,0,New,36.99
149,3,Bramha Suncity Platinum,Wadgaon Sheri,1850, May 2027,0,New,240
150,2,N B Aakashvan,Tathawade,811,Ready To Move,2,Resale,59
151,2,GK Aarcon,Dhankawadi Police Station Road,1008,Ready To Move,2,Resale,75
152,2,Kolte Patil IVY Botanica,Wagholi,1282,Ready To Move,6,Resale,70
153,4,Supreme Belmac Residences,Wadgaon Sheri,2327, Dec 2026,0,New,226
154,1,BU Bhandari Vaastuviva E,Wakad,580, Dec 2024,0,New,43
155,3,RGS Forte,Wakad,723, Mar 2027,0,New,103
156,2,Mahindra Happinest Tathawade,Ambegaon Budruk,1176, Jun 2026,0,New,69
157,4,Goyal My Homes,Shukrawar Peth,1187, May 2027,0,New,150
158,1,Windsor Maple Woodz,Wagholi,700,Ready To Move,9,Resale,27
159,2,Om Signet Park,Ravet,947, May 2023,0,New,46.59
160,3,Majestique Towers East,Kharadi,1530,Ready To Move,3,Resale,86.52
161,1,Kolte Patil Life Republic 6th Avenue,Hinjewadi,650,Ready To Move,10,Resale,40
162,3,Shitala G N Heights,Mamurdi,1300,Ready To Move,2,Resale,65
163,3,SSD Sai Pearl Phase 1,Pimple Saudagar,1500,Ready To Move,4,Resale,140
164,4,Marvel Sangria,NIBM Annex Mohammadwadi,6000, Jun 2025,0,New,412
165,3,Majestique Marbella Phase 1,Wakad,1450,Ready To Move,3,Resale,115
166,2,Nanded Sarang,Nanded,800,Ready To Move,2,Resale,75
167,1,Real Dream Homes,Varale,429, Dec 2026,0,New,27.49
168,2,Hermes Ramesh Pune Ramesh Hermes Classic,Koregaon Park,1400,Ready To Move,3,Resale,135
169,2,GK Aarcon,Punawale,1057,Ready To Move,2,Resale,48.7
170,2,Rama Celestial City Phase II Building A E H,Ravet,764, Feb 2023,0,New,66.94
171,3,Lodha Bella Vita,NIBM Annex Mohammadwadi,1200, Dec 2025,0,New,154
172,1,Shree Sai Aarav,Tathawade,479,Ready To Move,1,Resale,39.9
173,1,Crystal Homes,Ravet,650, Oct 2022,0,New,31
174,5,Marvel Diva 1,Hadapsar,7000,Ready To Move,12,Resale,395
175,2,Vilas Yashwin Supernova,Wakad,1077, Nov 2023,0,New,67.39
176,2,Kalpataru Serenity,Kothrud,735, Nov 2023,0,New,85
177,2,Goel Ganga Newtown Phase I,Dhanori,1040, Nov 2023,0,New,46.8
178,2,Reputed Builder Bhosale Paradise,Kothrud,845,Ready To Move,2,Resale,110
179,2,Anushree And Jhamtani Auralia Residency,Tathawade,861, Aug 2024,0,New,44.87
180,2,BU Bhandari Colonnade,Kharadi,988, Dec 2024,0,New,66.5
181,2,Paranjape Yuthika,Wakad,1050,Ready To Move,2,Resale,76
182,2,Gini Belvista Phase II,Dhanori,941, Jun 2024,0,New,56.8
183,3,Tirupati Vasantam,Dhanori,1415, Nov 2024,0,New,72.16
184,3,Kohinoor Kaleido,Balewadi,1661, Nov 2027,0,New,152
185,2,Naiknavare Pride Avonvista Project 4,Mahalunge,826, Feb 2025,0,New,107
186,3,Kumar Palmcrest,Kondhwa,1900,Ready To Move,3,Resale,125
187,3,St Luke Housing Society 1 Guruwar Peth,Pimple Gurav,1300,Ready To Move,2,Resale,79
188,2,Rajmata Trinity Greens,Wakad,1012, Jun 2026,0,New,55
189,2,Shavira Residency,Pimple Nilakh,850, Dec 2025,0,New,65
190,1,Mantra 29 Gold Coast Phase 2,Dhanori,389,Ready To Move,0,Resale,31
191,2,GK Jarvari,Pimple Saudagar,930, May 2025,0,New,74
192,2,Goel Ganga Acropolis,Sus,1047, Nov 2022,0,New,79.56
193,2,VTP HiLife,Wakad,1069, Nov 2022,0,New,80
194,2,Sukhwani Coloronic,Ravet,1282,Ready To Move,6,Resale,63.45
195,4,Rachana Polaris,Deccan Gymkhana,3200, Aug 2024,0,New,750
196,4,Majestique Ornate,Baner,1841, Nov 2027,0,New,285
197,2,Krishna Amarillo,Hinjewadi,940,Ready To Move,1,Resale,60.98
198,2,Paranjape Vasant Vihar Towers,Baner,1050,Ready To Move,11,Resale,95
199,2,Bhaktamar Residency,Wadgaon Sheri,1075, Dec 2026,0,New,70.8
200,3,Naiknavare Eminence Project 1,Viman Nagar,1401,Ready To Move,2,Resale,261
201,4,Vascon Ivy Glen,Kalyani Nagar,3600, Nov 2022,0,New,600
202,3,Unitree ARV Regalia,Undri,986, May 2026,0,New,78.28
203,2,Pristine Allure Part 2,Kharadi,1012, Dec 2027,0,New,93.9
204,2,Adani Atelier Greens,Mundhwa,1422, Feb 2024,0,New,190
205,2,Pride Purple Park Connect,Hinjewadi,716, Nov 2022,0,New,58
206,2,Hinjawadi Eon Homes,Hinjewadi,1100, May 2024,0,New,87
207,3,Goel Ganga Ganga Platino Building P Q R,Kharadi,1900, Mar 2024,0,New,160
208,2,Raj Heramba Venkatesh Imperia,Tathawade,1035,Ready To Move,10,Resale,55.21
209,1,Karia Konark Orchid,Wagholi,720,Ready To Move,1,Resale,29
210,3,Bramha Emerald County,Kondhwa,1500,Ready To Move,14,Resale,100
211,3,Shubh Shubh Nirvana,Viman Nagar,1247, Dec 2025,0,New,175
212,3,Prithvi Presidio Buiding B Phase 1,Hadapsar,1460,Ready To Move,4,Resale,146
213,2,Cozy Life,Wagholi,920, May 2023,0,New,32.5
214,2,Prapti Estella,Wakad,815,Ready To Move,2,Resale,67.5
215,2,JKG Purvarang,Wagholi,850, Nov 2023,0,New,44
216,2,Kolte Patil Western Avenue,Wakad,1150, Dec 2025,0,New,85
217,3,Siddhivinayak Sunshree Suvarnayug,Kondhwa,1600, Nov 2021,0,New,105
218,2,Mittal Sky High Towers,Hinjewadi,488, Nov 2023,0,New,48.67
219,2,Jagtap Nano Spaces,Ravet,1000,Ready To Move,10,Resale,53
220,2,Urban Park,Dhayari,1160, Dec 2030,0,New,40
221,4,Kohinoor Archana Kohinoor Glory Phase II,Mundhwa,1982,Ready To Move,4,Resale,230
222,3,Kundan La Ventana Phase 1,Wanowrie,1500,Ready To Move,2,Resale,130
223,2,Rohan Tarang,Wakad,1346, Jan 2028,0,New,67.3
224,2,BU Bhandari Acolade,Kharadi,1141, Dec 2025,0,New,71.5
225,2,Gagan Signet,Kondhwa,1190,Ready To Move,1,Resale,90
226,2,Kolte Patil Umang Pride,Wagholi,890, Sep 2023,0,New,50
227,2,Godrej Hillside 1,Mahalunge,820, Feb 2023,0,New,59
228,2,Prathamesh Excellencia,Tathawade,995, Aug 2022,0,New,58
229,2,Prasiddhi Shruti Pushp,Ravet,720, May 2025,0,New,45
230,3,Dodke Palazzo,Kothrud,1282, Nov 2024,0,New,179
231,2,Achalare Honeydew Wing A 12th Floor,Pirangut,860,Ready To Move,5,Resale,38
232,2,Kumar Kruti,Kalyani Nagar,1200,Ready To Move,2,Resale,95
233,2,Puraniks Abitante Phase 1A,Bavdhan,499, Oct 2027,0,New,81.33
234,2,Akshay Residency A Building,Wakad,900, Dec 2030,0,New,68
235,4,Purple Cloud 9,NIBM Annex Mohammadwadi,4200, Nov 2021,0,New,260
236,3,Vivanta Life Vedika Phase 1,Pimple Saudagar,857, May 2023,0,New,128
237,2,Omega Paradise,Wakad,1625,Ready To Move,13,Resale,85
238,3,Rama Fusion Towers Phase II,Hinjewadi,1485, Nov 2023,0,New,81
239,2,SB Patil Ganesh Paradise Phase I,Chikhali,683, Jun 2025,0,New,45.1
240,1,Parmar Parmar Residency,Kondhwa,550, May 2027,0,New,40
241,1,Karan Regency,Kothrud,680, Jun 2025,0,New,60
242,1,Enerrgia Skyi Songbirds Iris,Bavdhan,670,Ready To Move,1,Resale,35
243,3,Mittal Sky High Towers,Hinjewadi,820, Nov 2023,0,New,85.11
244,2,Reputed Builder Springfield,Wakad,740, Nov 2024,0,New,58
245,1,Kolte Patil Life Republic Sector R2 2nd Avenue,hingne Khurd,720, Dec 2025,0,New,71
246,2,Rose Gardenia,Mamurdi,1000, Dec 2023,0,New,61
247,2,Shivam 19 Grand West,Wakad,773, Mar 2026,0,New,44.27
248,1,Majestique Manhattan,Wagholi,311, Aug 2023,0,New,31.93
249,2,Majestique Manhattan,Wagholi,459, Aug 2023,0,New,44.95
250,2,Paranjape Blue Ridge,Hinjewadi,1240, Dec 2025,0,New,92
251,3,Pride Manhattan At Pride World City,Kharadi,1970,Ready To Move,3,Resale,97
252,1,Swaraj Homes Pavani Apartment,Bhosari,750,Ready To Move,2,Resale,38
253,2,Goel Ganga Serio,Kharadi,965, Sep 2026,0,New,105
254,3,Pride Purple Park Titanium,Wakad,1715,Ready To Move,9,Resale,220
255,2,Pristine Equilife Homes Phase III,Mahalunge,981, Nov 2023,0,New,65
256,3,Kesar Treetown Phase 3,Moshi,970, Dec 2025,0,New,70.19
257,1,Duville Riverdale Heights,Kharadi,506, Jan 2021,0,New,58.78
258,2,Shapoorji Pallonji Joyville Phase 2,Hinjewadi,588, May 2022,0,New,58.25
259,2,Kolte Patil IVY Estate,Wagholi,865,Ready To Move,2,Resale,39
260,2,Kolte Patil Umang Premiere,Wagholi,980, Nov 2024,0,New,46.5
261,2,Majestique Manhattan,Wagholi,840,Ready To Move,4,Resale,36
262,2,Prasun Sarvam,Kharadi,780, May 2024,0,New,67
263,3,Kolte Patil Life Republic 7th Avenue,Hinjewadi,1850, Mar 2023,0,New,79
264,3,Godrej Hill Retreat 2,Mahalunge,895, Mar 2027,0,New,112
265,2,Sampada Little Earth Masulkar City Phase 1,Mamurdi,986,Ready To Move,8,Resale,55
266,2,Pride Wellington,Charholi Budruk,780, Nov 2025,0,New,70.18
267,2,Shiv Hazel View,Hinjewadi,739, May 2029,0,New,63.14
268,1,Aakar Olive Homes 1,Charholi Budruk,509, Jun 2026,0,New,32.53
269,2,Saarrthi Stanza,Tathawade,990, Mar 2023,0,New,51.5
270,2,RK Lunkad Navratna,Ravet,1000,Ready To Move,10,Resale,50
271,3,Excellaa Prospera,Bavdhan,895, Dec 2027,0,New,132
272,2,Aum Sanskruti Casa Imperia,Wakad,985,Ready To Move,2,Resale,75
273,2,Indraprastha Landmark,Kondhwa,850, Aug 2023,0,New,44
274,3,Om Utopia,Wanowrie,1800,Ready To Move,16,Resale,150
275,2,Tirupati Welworth Bluescapes,Vadgaon Budruk,958, May 2025,0,New,75
276,1,Panchshil Township,Mohammed wadi,600, Aug 2024,0,New,40
277,3,Pharande Puneville Phase I,Tathawade,1013, May 2020,0,New,110
278,2,Puraniks Abitante Fiore Phase 2A,Bavdhan,989,Ready To Move,2,Resale,61.38
279,3,Reputed Builder Suncity,NIBM Annex Mohammadwadi,5000, Mar 2025,0,New,17
280,2,Rama Melange Residences,Hinjewadi,980,Ready To Move,2,Resale,56
281,2,Sukhwani Aspire,Ravet,1012, Dec 2024,0,New,52.1
282,3,Raviraj Fortaleza,Kalyani Nagar,1800,Ready To Move,12,Resale,165
283,3,Kotibhaskar Aaravi,Erandwane,1500,Ready To Move,3,Resale,199
284,2,Amanora Future Towers,Hadapsar,1228, May 2023,0,New,74.9
285,2,Reputed Builder Wakad Centre Co-Op Housing,Wakad,968,Ready To Move,3,Resale,60
286,2,Parmar Garden,Wanowrie,1050, Dec 2023,0,New,72
287,2,J N Adiamville,Tathawade,1200, Feb 2023,0,New,56.99
288,2,NSG Royal One,Pimple Nilakh,946,Ready To Move,7,Resale,58.65
289,3,Lodha Kharadi Pune Phase I Tower 1 To 4,Kharadi,1700,Ready To Move,3,Resale,160
290,3,Avalon Elysium,Wakad,1604, May 2023,0,New,80.2
291,3,Majestique Towers East,Kharadi,1608, May 2024,0,New,91.84
292,1,Nisarg Siddhi Nisarg,Thergaon,610, Dec 2025,0,New,30
293,1,Vakratund Aaditya Malhar,Ravet,750, May 2023,0,New,34.5
294,2,Yashada Splendid Courtyard,Lohegaon,960, May 2023,0,New,53.85
295,2,Mittal Sky High Towers,Hinjewadi,517, Nov 2023,0,New,51.6
296,2,Adi Aventura,Ravet,900, Sep 2025,0,New,52
297,1,Amanora Aspire Towers,Karve Nagar,650, Dec 2022,0,New,60
298,3,Kolte Patil Green Olive,Hinjewadi,1378, Jan 2021,0,New,53.05
299,2,Rohan Abhilasha Building E,Wagholi,616, Feb 2024,0,New,36.17
300,2,Belvalkar Solacia,Wagholi,975,Ready To Move,7,Resale,48
301,1,Prasiddhi Shruti Pushp,Ravet,680,Ready To Move,0,Resale,30
302,3,Pride Kingsbury Phase I,Lohegaon,920, May 2022,0,New,61.03
303,4,Pride World City,Lohegaon,2207, Jun 2024,0,New,182
304,2,Rahul Arcus Bldg B,Baner,1244, Dec 2024,0,New,106
305,2,Rohan Ananta Phase II,Tathawade,638, Aug 2024,0,New,52.01
306,2,Amit Astonia Royale,Baner,985,Ready To Move,2,Resale,89
307,3,Unique Unique K Ville,Ravet,990, Sep 2025,0,New,79.02
308,1,Asha Dwarka Square Phase I,Alandi,632, Jun 2028,0,New,30
309,2,Pride Purple Park Titanium Phase II,Wakad,891, Sep 2021,0,New,77.03
310,1,Godrej Wood Park,Mamurdi,1738,Ready To Move,0,Resale,99.82
311,5,Rahul Arcus Bldg E,Baner,2823,Ready To Move,4,Resale,291
312,1,VTP Bellissimo Phase 1,Hinjewadi,441, Mar 2026,0,New,44.99
313,2,Nanded Mangal Bhairav,Nanded,972,Ready To Move,2,Resale,74
314,2,Rose Castle,Moshi,619, Jul 2022,0,New,47.25
315,2,Godrej 24,Hinjewadi,1250, Feb 2026,0,New,85
316,3,Paranjape Forest Trails Highland Tower 7 And 8,Bhugaon,1135,Ready To Move,5,Resale,87.33
317,3,Bramha The Collection,Wadgaon Sheri,1093, Sep 2029,0,New,134
318,8,Suma Padma Vilas Enclave,Wanowrie,9000,Ready To Move,7,Resale,1000
319,3,Nyati Evolve,Mundhwa,1600, Aug 2024,0,New,116
320,2,Godrej Elements,Hinjewadi,695, Nov 2021,0,New,86.99
321,2,Mittal Pebbles High Mont Phase 1,Hinjewadi,566, Dec 2020,0,New,62.04
322,2,Shrem Kekarav Phase I,Bavdhan,2367, Dec 2025,0,New,133
323,1,A P Akshay Galaxy Building B,Kondhwa,545,Ready To Move,2,Resale,30.5
324,3,Amanora Trendy Homes,Hadapsar,1080, Nov 2023,0,New,84
325,1,Ceratec Antara,Kondhwa,648, May 2028,0,New,29
326,1,Essen Aishwaryam Hamara,Chikhali,530,Ready To Move,3,Resale,26.5
327,2,Rama Fusion Towers Phase I,Hinjewadi,930, Sep 2026,0,New,49
328,2,Alcon Renaissant,Kharadi,1150,Ready To Move,7,Resale,95
329,3,Nirvana Life County,Lohegaon,1800, Mar 2025,0,New,80
330,2,Duville Riverdale Heights,Kharadi,1136, Dec 2025,0,New,122
331,3,Unique K Ville,Ravet,1393, Dec 2028,0,New,73.26
332,2,Unique Legacy Majestic,Mundhwa,628, Aug 2025,0,New,58.71
333,2,Majestique Towers East,Kharadi,750, May 2024,0,New,64
334,3,SSD Sai Pearl Phase 2,Pimple Saudagar,1088, Dec 2026,0,New,130
335,2,Nirman Akash Raj Phase One,Ravet,960,Ready To Move,2,Resale,49.99
336,1,Yashada Splendid County,Lohegaon,700,Ready To Move,1,Resale,39
337,3,Urban Skyline,Ravet,1300,Ready To Move,3,Resale,108
338,1,SKYi Developments Skyi Song Birds,Bavdhan,950,Ready To Move,123,Resale,55
339,1,Majestique Manhattan,Wagholi,311, Nov 2022,0,New,31.93
340,2,OM Tropica Phase II,Ravet,850,Ready To Move,2,Resale,65
341,2,Shapoorji Pallonji Joyville Phase 2,Hinjewadi,529, May 2022,0,New,52.45
342,2,CD Developers Premia,Dhayari,902, Dec 2025,0,New,48
343,2,Sukhwani Empire Square Phase I AND II,Chinchwad,1190,Ready To Move,7,Resale,110
344,3,Duville Riverdale Grove,Kharadi,1920, May 2026,0,New,165
345,3,Kunal Iconia,Mamurdi,1000,Ready To Move,7,Resale,82.94
346,2,Bafna Padmaja 2,Ambegaon Pathar,870,Ready To Move,2,Resale,50
